*;0;#group;index;offset;type;nss;bw;gi;airtime
*;0;#sta;action;macaddr;overhead_mcs;overhead_legacy;supported
*;0;#txs;macaddr;num_frames;num_acked;probe;rates;counts
*;0;#stats;macaddr;rate;avg_prob;avg_tp;cur_success;cur_attempts;hist_success;hist_attempts
*;0;#rates;macaddr;rates;counts
*;0;#probe;macaddr;rate
*;0;group;0;0;ht;1;0;0;168980,b44c0,783c0,5a260,3c1e0,2d1a0,28180,24120
*;0;group;1;10;ht;2;0;0;b44c0,5a260,3c1e0,2d1a0,1e170,16950,14140,12110
*;0;group;2;20;ht;3;0;0;783d0,3c1e8,28198,1e170,14148,f130,d5d8,c060
*;0;group;3;30;ht;4;0;0;5a260,2d1a8,1e170,16950,f130,b4a8,a120,9088
*;0;group;4;40;ht;1;0;1;1448c0,a2460,6c3a0,51240,361e0,289a0,241a0,207a0
*;0;group;5;50;ht;2;0;1;a2470,51250,361e0,289b0,1b170,14560,12150,10450
*;0;group;6;60;ht;3;0;1;6c3a0,361e8,241a0,1b178,12158,d948,c0a8,ad50
*;0;group;7;70;ht;4;0;1;51250,289b0,1b178,14560,d948,a2c8,9130,8240
*;0;group;8;80;ht;1;1;0;ada50,56da0,39ec0,2b750,1cfd0,15ba0,13590,11650
*;0;group;9;90;ht;2;1;0;56da0,2b750,1cfd8,15ba8,e868,add0,9b40,8ba0
*;0;group;a;a0;ht;3;1;0;39ec0,1cfdc,13590,e86c,9b44,7434,6784,5cc4
*;0;group;b;b0;ht;4;1;0;2b750,15ba8,e86c,add4,7434,56e8,4e20,4650
*;0;group;c;c0;ht;1;1;1;9c4a0,4e2e0,34240,271f0,1a1a0,13910,116c0,faa0
*;0;group;d;d0;ht;2;1;1;4e2e0,271f8,1a1a8,13910,d160,9ca0,8bf0,7de0
*;0;group;e;e0;ht;3;1;1;34244,1a1ac,116cc,d160,8bf0,68c8,5d5c,53b0
*;0;group;f;f0;ht;4;1;1;271f8,13914,d160,9ca4,68c8,4e68,4680,3f78
*;0;group;10;100;cck;1;0;0;960e00,4c9100,1dcc00,106f00,949700,4b1a00,1c5500,ef800
*;0;group;11;110;ofdm;1;0;0;190640,10d880,cc1a0,8aac0,6a720,493e0,399e0,33c20
*;0;group;12;120;vht;1;0;0;168980,b44c0,783c0,5a260,3c1e0,2d1a0,28180,24120,1e160,1b180
*;0;group;13;130;vht;2;0;0;b44c0,5a260,3c1e0,2d1a0,1e170,16950,14140,12110,f130,d8c0
*;0;group;14;140;vht;3;0;0;783d0,3c1e8,28198,1e170,14148,f130,d5d8,c060,a120,9088
*;0;group;15;150;vht;4;0;0;5a260,2d1a8,1e170,16950,f130,b4a8,a120,9088,7918,6c60
*;0;group;16;160;vht;1;0;1;1448c0,a2460,6c3a0,51240,361e0,289a0,241a0,207a0,1b160,18660
*;0;group;17;170;vht;2;0;1;a2470,51250,361e0,289b0,1b170,14560,12150,10450,d940,c350
*;0;group;18;180;vht;3;0;1;6c3a0,361e8,241a0,1b178,12158,d948,c0a8,ad50,9130,8240
*;0;group;19;190;vht;4;0;1;51250,289b0,1b178,14560,d948,a2c8,9130,8240,6d28,61c0
*;0;group;1a;1a0;vht;1;1;0;ada50,56da0,39ec0,2b750,1cfd0,15ba0,13590,11650,e860,d0f0
*;0;group;1b;1b0;vht;2;1;0;56da0,2b750,1cfd8,15ba8,e868,add0,9b40,8ba0,7430,6878
*;0;group;1c;1c0;vht;3;1;0;39ec0,1cfdc,13590,e86c,9b44,7434,6784,5cc4,4e20,4650
*;0;group;1d;1d0;vht;4;1;0;2b750,15ba8,e86c,add4,7434,56e8,4e20,4650,3a98,34bc
*;0;group;1e;1e0;vht;1;1;1;9c4a0,4e2e0,34240,271f0,1a1a0,13910,116c0,faa0,d160,bc40
*;0;group;1f;1f0;vht;2;1;1;4e2e0,271f8,1a1a8,13910,d160,9ca0,8bf0,7de0,68c8,5e38
*;0;group;20;200;vht;3;1;1;34244,1a1ac,116cc,d160,8bf0,68c8,5d5c,53b0,4680,3f78
*;0;group;21;210;vht;4;1;1;271f8,13914,d160,9ca4,68c8,4e68,4680,3f78,34ec,2fa8
*;0;group;22;220;vht;1;2;0;50238,28198,1abb8,14148,d5d8,a120,8e90,80e8,6b68,60a8
*;0;group;23;230;vht;2;2;0;28198,14148,d5dc,a120,6b6c,510c,4748,4074,35b4,30d4
*;0;group;24;240;vht;3;2;0;1abbc,d5de,8e94,6b6c,474a,35b6,2fda,2af8,2422,203a
*;0;group;25;250;vht;4;2;0;1414a,a122,6b6c,510e,35b6,2904,2422,203a,1b58,186a
*;0;group;26;260;vht;1;2;1;48230,241a0,18128,12158,c0a8,9130,8080,7430,60e0,5730
*;0;group;27;270;vht;2;2;1;241a0,12158,c0ac,9134,60e0,4924,4058,3a34,3088,2c24
*;0;group;28;280;vht;3;2;1;18128,c0ac,8084,60e0,405a,3088,2b42,26de,20b6,1d32
*;0;group;29;290;vht;4;2;1;1215a,9136,60e0,4924,3088,251c,20b6,1d32,18ce,162a
phy0;0;add
phy1;0;add
phy1;155679f515f8;txs;88:a9:b7:ee:ab:61;1;1;0;277;1
phy1;1557c9e2f9db;txs;88:a9:b7:ee:ab:61;1;1;0;277;1
phy1;1557c9e77134;txs;88:a9:b7:ee:ab:61;1;1;0;277;1
