phy1;1aae50d168cf;sta;add;f8:16:54:6a:13:69;6c;3c;ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phy1;1aae51c4bd85;txs;f8:16:54:6a:13:69;1;1;0;110,110;1,1
phy1;1aae51c833bf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae5454d265;txs;f8:16:54:6a:13:69;2;2;0;d7,d7;1,1
phy1;1aae56e2dace;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae5972d68a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae5bf699e1;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae5e789ae5;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae60f8ec13;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae63821fe2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae66091d18;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae68a81800;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae6b28c463;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae6d9ecc35;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae701a38a7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae72a9215c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae752aa5e7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae77b01c5d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae7a253ae6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae7c9fd993;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae7f3d393c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae820ac3bf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae848de9a3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae871733fd;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae899c5d0a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae8c2b8e99;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae8eaf1a57;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae913341c4;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae93adce5e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae96265192;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae98a70ce3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae9b24eb76;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae9dad96dd;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaea0212af0;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaea2a35832;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaea527349b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaea7a8a3ce;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeaa2c6f8f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeacaaacb8;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeaf275d5a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeb1b81fda;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeb4347eb1;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeb6aa3d6d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeb92d3f3b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaebbbee053;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaebe3f641f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaec0b33936;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaec3364320;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaec5b6c82a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaec837b5de;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaecab23724;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaecd389ebe;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaecfd5b13e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaed258e1c7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaed4e487c9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaed75bd0f4;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaed9db0ebb;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaedc5c5442;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaededc7b07;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaee15b05f9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaee3d05ff7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaee64ba3ff;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaee8dd5f53;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeeb5e2eec;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeedd40367;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaef04a058c;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaef2bdfcd9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaef5429a35;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaef7b64af2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaefa299aca;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaefc9d45b8;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaeff164bc9;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf019b7a6a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf041799e1;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf0699bbc6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf092a74e7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf0bb93d39;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf0e4edf18;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf10c4d82f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf133e3678;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf15b35c95;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf1836efb6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf1aa661a4;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf1d26a49a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf1f9b0b94;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf221d21ba;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf24aa8735;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf272c2af1;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf29a5ee55;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf2c244b4b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf2ea92394;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aaf2f237765;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
